Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Robert Solow,1987 - Economics,,,Male,"New York City, New York, United States",United States of America,American Economist,"Robert Merton Solow ( /ˈsoʊloʊ/; born August 23, 1924) is an American economist particularly known for his work on the theory of economic growth that culminated in the exogenous growth model named after him. He was awarded the John Bates Clark Medal (in 1961) and the 1987 Nobel Memorial Prize in Economic Sciences.",1924,63,Harvard University,United States of America,http://upload.wikimedia.org/wikipedia/commons/9/95/Robert_Solow_by_Olaf_Storbeck.jpg,http://dbpedia.org/page/Robert_Solow,http://en.wikipedia.org/wiki/Robert_Solow
Joseph Brodsky,1987 - Literature,,,Male,"Saint Petersburg, Russia",Russia,"Poet, Essayist","Iosif Aleksandrovich Brodsky ( Russian: Ио́сиф Алекса́ндрович Бро́дский, IPA: [ɪˈosʲɪf ˈbrot͡skʲɪj]; 24 May 1940 – 28 January 1996) was a Russian-American poet and essayist.",1940,47,,United States of America,http://upload.wikimedia.org/wikipedia/commons/1/1c/Joseph_Brodsky_1988.jpg,http://dbpedia.org/page/Joseph_Brodsky,http://en.wikipedia.org/wiki/Joseph_Brodsky
Susumu Tonegawa,1987 - Medicine / Physiology,Antibody diversity,,Male,"Nagoya, Japan",Japan,Japanese Biologist,"Susumu Tonegawa (利根川 進 Tonegawa Susumu, born September 6, 1939) is a Japanese scientist who won the Nobel Prize for Physiology or Medicine in 1987 for his discovery of the genetic mechanism that produces antibody diversity. Although he won the Nobel Prize for his work in immunology, Tonegawa is a molecular biologist by training. In his later years, he has turned his attention to the molecular and cellular basis of memory formation.",1939,48,"University of California - San Diego, Salk Institute for Biological Studies, Kyoto University",Japan,http://upload.wikimedia.org/wikipedia/commons/3/30/Susumu-Tonegawa.png,http://dbpedia.org/page/Susumu_Tonegawa,http://en.wikipedia.org/wiki/Susumu_Tonegawa
Óscar Arias,1987 - Peace,,,Male,"Heredia, Costa Rica",Costa Rica,President Of Costa Rica,"Óscar Arias Sánchez (born September 13, 1940 in Heredia, Costa Rica ) was President of Costa Rica from 1986 to 1990 and from 2006 to 2010. He received the Nobel Peace Prize in 1987 for his efforts to end the Central American crisis.",1940,47,"Boston University, London School of Economics, University of Costa Rica, University of Essex",Costa Rica,http://upload.wikimedia.org/wikipedia/commons/d/d8/%C3%93scar_Arias.jpg,http://dbpedia.org/page/%C3%93scar_Arias,http://en.wikipedia.org/wiki/%C3%93scar_Arias
Johannes Georg Bednorz,1987 - Physics,,,Male,"North Rhine-Westphalia, Neuenkirchen, Westphalia, Germany",Germany,,"Johannes Georg Bednorz (born May 16, 1950) is a German physicist who, together with K. Alex Müller, discovered high-temperature superconductivity in ceramics, for which they shared the 1987 Nobel Prize in Physics.",1950,37,,Germany,http://upload.wikimedia.org/wikipedia/commons/8/81/Ibmgb.jpg,http://dbpedia.org/page/Johannes_Georg_Bednorz,http://en.wikipedia.org/wiki/Johannes_Georg_Bednorz
Karl Alexander Müller,1987 - Physics,,,Male,"Basel, Switzerland",Switzerland,,"Karl Alexander Müller (born April 20, 1927) is a Swiss physicist and Nobel laureate. He received the Nobel Prize in Physics in 1987 with Georg Bednorz for their work in superconductivity in ceramic materials.",1927,60,ETH Zurich,Switzerland,http://upload.wikimedia.org/wikipedia/commons/9/9b/Karl_Alexander_Mueller.jpg,http://dbpedia.org/page/Karl_Alexander_M%C3%BCller,http://en.wikipedia.org/wiki/Karl_Alexander_M%C3%BCller
Robert Huber,1988 - Chemestry,Cyanobacteria,,Male,"Munich, Germany",Germany,German Biochemist,Robert Huber ForMemRS is a German biochemist and Nobel laureate.,1937,51,,Germany,http://upload.wikimedia.org/wikipedia/commons/0/0a/Robert-huber.jpg,http://dbpedia.org/page/Robert_Huber,http://en.wikipedia.org/wiki/Robert_Huber
Hartmut Michel,1988 - Chemestry,Crystallisation of membrane proteins,,Male,"Ludwigsburg, Germany",Germany,German Biochemist,Hartmut Michel is a German biochemist and Nobel Laureate,1948,40,University of Tübingen,Germany,,http://dbpedia.org/page/Hartmut_Michel,http://en.wikipedia.org/wiki/Hartmut_Michel
Johann Deisenhofer,1988 - Chemestry,Photosynthesis,,Male,,,German Scientist,"Johann Deisenhofer (born September 30, 1943) is a German biochemist who, along with Hartmut Michel and Robert Huber, received the Nobel Prize for Chemistry in 1988 for their determination of the first crystal structure of an integral membrane protein, a membrane-bound complex of proteins and co-factors that is essential to photosynthesis. ",1943,45,Technische Universität München,Germany,http://upload.wikimedia.org/wikipedia/commons/e/ed/Photosynthetic_Reaction_Center_Drawing.png,http://dbpedia.org/page/Johann_Deisenhofer,http://en.wikipedia.org/wiki/Johann_Deisenhofer
Maurice Allais,1988 - Economics,,,Male,"Paris, France",France,French Economist,"Maurice Félix Charles Allais (31 May 1911 – 9 October 2010) was a French economist, and was the 1988 winner of the Nobel Memorial Prize in Economics ""for his pioneering contributions to the theory of markets and efficient utilization of resources.""",1911,77,"Institut des sciences et technologies de Paris, École Polytechnique",France,http://upload.wikimedia.org/wikipedia/commons/1/12/ALLAIS_PN_Maurice-24x30-2001b.jpg,http://dbpedia.org/page/Maurice_Allais,http://en.wikipedia.org/wiki/Maurice_Allais
Naguib Mahfouz,1988 - Literature,,,Male,Egypt,Egypt,Novelist,"Naguib Mahfouz ( Arabic: نجيب محفوظ ‎ Nagīb Maḥfūẓ, IPA: [næˈɡiːb mɑħˈfuːzˤ]; 11 December 1911 – 30 August 2006) was an Egyptian writer who won the 1988 Nobel Prize for Literature. He is regarded as one of the first contemporary writers of Arabic literature, along with Tawfiq el-Hakim, to explore themes of existentialism. He published 34 novels, over 350 short stories, dozens of movie scripts, and five plays over a 70-year career. Many of his works have been made into Egyptian and foreign films.",1911,77,,Egypt,http://upload.wikimedia.org/wikipedia/commons/b/be/Necip_Mahfuz.jpg,http://dbpedia.org/page/Naguib_Mahfouz,http://en.wikipedia.org/wiki/Naguib_Mahfouz
Gertrude B. Elion,1988 - Medicine / Physiology,,,Female,"New York City, New York, United States",United States of America,American Biochemist,"Gertrude Belle Elion (January 23, 1918 – February 21, 1999) was an American biochemist and pharmacologist, and a 1988 recipient of the Nobel Prize in Physiology or Medicine. Working alone as well as with George H. Hitchings, Elion developed a multitude of new drugs, using innovative research methods that would later lead to the development of the AIDS drug AZT. ",1918,70,City University of New York,United States of America,http://upload.wikimedia.org/wikipedia/commons/5/5c/Gertrude_Elion.jpg,http://dbpedia.org/page/Gertrude_B._Elion,http://en.wikipedia.org/wiki/Gertrude_B._Elion
George H. Hitchings,1988 - Medicine / Physiology,Chemotherapy,,Male,"Hoquiam, Washington, United States",United States of America,American Pharmacologist,"George Herbert Hitchings (April 18, 1905 – February 27, 1998) was an American doctor who shared the 1988 Nobel Prize in Physiology or Medicine with Sir James Black and Gertrude Elion ""for their discoveries of important principles for drug treatment,"" Hitchings specifically for his work on chemotherapy.",1905,83,,United States of America,http://upload.wikimedia.org/wikipedia/commons/f/fa/George_H._Hitchings_1988.jpg,http://dbpedia.org/page/George_H._Hitchings,http://en.wikipedia.org/wiki/George_H._Hitchings
James W. Black,1988 - Medicine / Physiology,,,Male,"Uddingston, United Kingdom",United Kingdom,,"Sir James Whyte Black OM FRS FRSE FRCP (14 June 1924 – 22 March 2010 ) was a Scottish pharmacologist. Black established the physiology department at the University of Glasgow, where he became interested in the effects of adrenaline on the human heart. He went to work for ICI Pharmaceuticals in 1958 and, while there, developed propranolol, a beta blocker used for the treatment of heart disease. Black was also responsible for the development of cimetidine, a H2 receptor antagonist, a drug used in a similar manner to treat stomach ulcers. He was awarded the Nobel Prize for Medicine in 1988 for work leading to the development of propranolol and cimetidine. ",1924,64,University of St Andrews,United Kingdom,http://upload.wikimedia.org/wikipedia/enf/f8/James_Black.jpeg,http://dbpedia.org/page/James_W._Black,http://en.wikipedia.org/wiki/James_W._Black
United Nations Peace-Keeping Forces,1988 - Peace,,,,,,,"Peacekeeping by the United Nations is a role held by the Department of Peacekeeping Operations as ""a unique and dynamic instrument developed by the Organization as a way to help countries torn by conflict to create the conditions for lasting peace."" It is distinguished from both peacebuilding and peacemaking.",,,,,http://www.devinfolab.org/products/unpk/img/unp_logo.png,http://dbpedia.org/page/United_Nations_peacekeeping,http://en.wikipedia.org/wiki/United_Nations_peacekeeping
Melvin Schwartz,1988 - Physics,Neutrinos,,Male,"New York City, New York, United States",United States of America,American Experimental Physicist,"Melvin Schwartz (November 2, 1932 – August 28, 2006) was an American physicist. He shared the 1988 Nobel Prize in Physics with Leon M. Lederman and Jack Steinberger for their development of the neutrino beam method and their demonstration of the doublet structure of the leptons through the discovery of the muon neutrino. ",1932,56,Columbia University,United States of America,,http://dbpedia.org/page/Melvin_Schwartz,http://en.wikipedia.org/wiki/Melvin_Schwartz
Leon M. Lederman,1988 - Physics,"Seminal contributions to Neutrinos, Bottom quark",,Male,"New York City, New York, United States",United States of America,American Mathematician And Physicist,"Leon Max Lederman (born July 15, 1922) is an American experimental physicist who received, along with Martin Lewis Perl, the Wolf Prize in Physics in 1982, for their research on quarks and leptons, and the Nobel Prize for Physics in 1988, along with Melvin Schwartz and Jack Steinberger, for their research on neutrinos. He is Director Emeritus of Fermi National Accelerator Laboratory (Fermilab) in Batavia, Illinois, USA. He founded the Illinois Mathematics and Science Academy, in Aurora, Illinois in 1986, and has served in the capacity of Resident Scholar since 1998. In 2012, he was awarded the Vannevar Bush Award for his extraordinary contributions to understanding the basic forces and particles of nature. ",1922,66,"Columbia University, City University of New York",United States of America,http://upload.wikimedia.org/wikipedia/commons/1/1b/Leon_M._Lederman.jpg,http://dbpedia.org/page/Leon_M._Lederman,http://en.wikipedia.org/wiki/Leon_M._Lederman
Jack Steinberger,1988 - Physics,Muon neutrino,,Male,"Bad Kissingen, Germany",Germany,Swiss Physicist,"Hans Jakob ""Jack"" Steinberger (born May 25, 1921) is a physicist currently residing near Geneva, Switzerland. He co-discovered the muon neutrino, along with Leon Lederman and Melvin Schwartz, for which they were given the 1988 Nobel Prize in Physics.",1921,67,,"Germany, United States of America",http://upload.wikimedia.org/wikipedia/commons/4/42/Jack-Steinberger-2008.JPG,http://dbpedia.org/page/Jack_Steinberger,http://en.wikipedia.org/wiki/Jack_Steinberger
Sidney Altman,1989 - Chemestry,Ribozymes,,Male,"Montreal, Quebec, Canada",Canada,Canadian American Molecular Biologist,"Sidney Altman (born May 7, 1939) is a Canadian American molecular biologist, who is the Sterling Professor of Molecular, Cellular, and Developmental Biology and Chemistry at Yale University. In 1989 he shared the Nobel Prize in Chemistry with Thomas R. Cech for their work on the catalytic properties of RNA.",1939,50,"Massachusetts Institute of Technology, University of Colorado - Boulder","Canada, United States of America",http://upload.wikimedia.org/wikipedia/commons//5/57/Sidney_Altman_crop.jpg,http://dbpedia.org/page/Sidney_Altman,http://en.wikipedia.org/wiki/Sidney_Altman
Thomas Cech,1989 - Chemestry,Ribozyme,,Male,"Chicago, Illinois, United States",United States of America,,"Thomas Robert Cech (born December 8, 1947 in Chicago ) is a chemist who shared the 1989 Nobel prize in chemistry with Sidney Altman, for their discovery of the catalytic properties of RNA. Cech discovered that RNA could itself cut strands of RNA, which showed that life could have started as RNA. He also studied telomeres, and his lab discovered an enzyme, TERT (telomerase reverse transcriptase), which is part of the process of restoring telomeres after they are shortened during cell division. As president of Howard Hughes Medical Institute, he promoted science education, and he teaches an undergraduate chemistry course at the University of Colorado.",1947,42,"University of California - Berkeley, Grinnell College",United States of America,http://upload.wikimedia.org/wikipedia/commons/6/68/Thomas_Robert_Cech.jpg,http://dbpedia.org/page/Thomas_Cech,http://en.wikipedia.org/wiki/Thomas_Cech
Trygve Haavelmo,1989 - Economics,,,Male,"Skedsmo, Norway",Norway,Norwegian Economist,"Trygve Magnus Haavelmo (13 December 1911 – 28 July 1999), born in Skedsmo, Norway, was an influential economist with main research interests centered on the fields of econometrics and economics theory.",1911,78,University of Oslo,Norway,http://upload.wikimedia.org/wikipedia/commons/2/25/Trygve_Haavelmo.jpg,http://dbpedia.org/page/Trygve_Haavelmo,http://en.wikipedia.org/wiki/Trygve_Haavelmo
