ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2004 - Consumer Product Safety Commission,http://www.opensecrets.org//lobby/agencysum.php?id=046&year=2004,Consumer Product Safety Commission,2004,28,48
2014 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2014,National Transportation Safety Board,2014,28,49
2000 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=2000,Office of Personnel Management,2000,28,53
2010 - Pipeline & Hazardous Materials Safety,http://www.opensecrets.org//lobby/agencysum.php?id=254&year=2010,Pipeline & Hazardous Materials Safety,2010,28,60
2012 - Drug Enforcement Administration,http://www.opensecrets.org//lobby/agencysum.php?id=155&year=2012,Drug Enforcement Administration,2012,28,68
1998 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=1998,Federal Deposit Insurance Commission,1998,28,68
2010 - Minerals Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=147&year=2010,Minerals Management Service,2010,28,70
2012 - Office of Director of Natl Intelligence,http://www.opensecrets.org//lobby/agencysum.php?id=214&year=2012,Office of Director of Natl Intelligence,2012,28,73
2008 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2008,National Transportation Safety Board,2008,28,82
2013 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2013,Dept of Veterans Affairs,2013,280,789
2002 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=2002,Federal Emergency Management Agency,2002,283,384
2005 - Food & Drug Administration,http://www.opensecrets.org//lobby/agencysum.php?id=135&year=2005,Food & Drug Administration,2005,285,527
2001 - Federal Communications Commission,http://www.opensecrets.org//lobby/agencysum.php?id=053&year=2001,Federal Communications Commission,2001,285,600
2010 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2010,Dept of Veterans Affairs,2010,285,819
2002 - Army Corps of Engineers,http://www.opensecrets.org//lobby/agencysum.php?id=200&year=2002,Army Corps of Engineers,2002,288,412
2000 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2000,Natl Telecom & Information Admin,2000,29,42
2002 - Indian Health Service,http://www.opensecrets.org//lobby/agencysum.php?id=138&year=2002,Indian Health Service,2002,29,43
1999 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=1999,Health Resources & Svcs Administration,1999,29,43
2003 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2003,Council of Economic Advisers,2003,29,44
1999 - Consumer Product Safety Commission,http://www.opensecrets.org//lobby/agencysum.php?id=046&year=1999,Consumer Product Safety Commission,1999,29,45
1999 - National Park Service,http://www.opensecrets.org//lobby/agencysum.php?id=143&year=1999,National Park Service,1999,29,45
2003 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2003,Natl Telecom & Information Admin,2003,29,50
1999 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=1999,Natl Telecom & Information Admin,1999,29,50
1998 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=1998,Bureau of Indian Affairs,1998,29,51
1998 - Nuclear Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=078&year=1998,Nuclear Regulatory Commission,1998,29,51
2003 - US Copyright Office,http://www.opensecrets.org//lobby/agencysum.php?id=207&year=2003,US Copyright Office,2003,29,52
2004 - Nuclear Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=078&year=2004,Nuclear Regulatory Commission,2004,29,55
2014 - US Copyright Office,http://www.opensecrets.org//lobby/agencysum.php?id=207&year=2014,US Copyright Office,2014,29,59
1998 - Commodity Futures Trading Commission,http://www.opensecrets.org//lobby/agencysum.php?id=045&year=1998,Commodity Futures Trading Commission,1998,29,60
2008 - Office of Director of Natl Intelligence,http://www.opensecrets.org//lobby/agencysum.php?id=214&year=2008,Office of Director of Natl Intelligence,2008,29,69
2012 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2012,National Transportation Safety Board,2012,29,74
2009 - Federal Motor Carrier Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=216&year=2009,Federal Motor Carrier Safety Admin,2009,29,75
2009 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2009,Office of Thrift Supervision,2009,29,83
2011 - Office of Director of Natl Intelligence,http://www.opensecrets.org//lobby/agencysum.php?id=214&year=2011,Office of Director of Natl Intelligence,2011,29,84
2007 - Food & Drug Administration,http://www.opensecrets.org//lobby/agencysum.php?id=135&year=2007,Food & Drug Administration,2007,290,547
2004 - Food & Drug Administration,http://www.opensecrets.org//lobby/agencysum.php?id=135&year=2004,Food & Drug Administration,2004,290,552
2009 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2009,Dept of Army,2009,290,790
2011 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2011,Dept of Veterans Affairs,2011,290,796
2010 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2010,Dept of Army,2010,291,787
2006 - Food & Drug Administration,http://www.opensecrets.org//lobby/agencysum.php?id=135&year=2006,Food & Drug Administration,2006,292,531
1998 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=1998,Centers for Medicare & Medicaid Services,1998,293,506
2003 - Food & Drug Administration,http://www.opensecrets.org//lobby/agencysum.php?id=135&year=2003,Food & Drug Administration,2003,294,532
1998 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=1998,Dept of Education,1998,295,504
2005 - Army Corps of Engineers,http://www.opensecrets.org//lobby/agencysum.php?id=200&year=2005,Army Corps of Engineers,2005,299,516
2011 - Federal Communications Commission,http://www.opensecrets.org//lobby/agencysum.php?id=053&year=2011,Federal Communications Commission,2011,299,998
2013 - US Chem Safety & Haz Invest Board,http://www.opensecrets.org//lobby/agencysum.php?id=224&year=2013,US Chem Safety & Haz Invest Board,2013,3,10
2010 - Agency for Toxic Substances & Disease,http://www.opensecrets.org//lobby/agencysum.php?id=133&year=2010,Agency for Toxic Substances & Disease,2010,3,10
2010 - Bureau of Economic Analysis,http://www.opensecrets.org//lobby/agencysum.php?id=106&year=2010,Bureau of Economic Analysis,2010,3,10
2009 - Tennessee Valley Authority,http://www.opensecrets.org//lobby/agencysum.php?id=092&year=2009,Tennessee Valley Authority,2009,3,10
2013 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=2013,National Mediation Board,2013,3,11
2012 - Defense Commissary Agency,http://www.opensecrets.org//lobby/agencysum.php?id=117&year=2012,Defense Commissary Agency,2012,3,11
2009 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2009,St Lawrence Seaway Development Corp,2009,3,11
2012 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2012,Ballistic Missile Defense Organization,2012,3,12
2012 - Bureau of Transportation Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=180&year=2012,Bureau of Transportation Statistics,2012,3,12
2012 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2012,Railroad Retirement Board,2012,3,12
2010 - National Institute of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=159&year=2010,National Institute of Justice,2010,3,12
2009 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2009,Employment Standards Administration,2009,3,12
2013 - Financial Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=241&year=2013,Financial Management Service,2013,3,15
2013 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2013,Occupational Safety & Health Review Co,2013,3,3
2010 - Defense Nuclear Facilities Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=048&year=2010,Defense Nuclear Facilities Safety Board,2010,3,3
2010 - Smithsonian Institution,http://www.opensecrets.org//lobby/agencysum.php?id=101&year=2010,Smithsonian Institution,2010,3,3
2008 - Violence Against Women Office,http://www.opensecrets.org//lobby/agencysum.php?id=162&year=2008,Violence Against Women Office,2008,3,3
2007 - Defense Threat Reduction Agency,http://www.opensecrets.org//lobby/agencysum.php?id=236&year=2007,Defense Threat Reduction Agency,2007,3,3
2007 - Pipeline & Hazardous Materials Safety,http://www.opensecrets.org//lobby/agencysum.php?id=254&year=2007,Pipeline & Hazardous Materials Safety,2007,3,3
2006 - Defense Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=120&year=2006,Defense Intelligence Agency,2006,3,3
2006 - Federal Mine Safety & Health Review Cmsn,http://www.opensecrets.org//lobby/agencysum.php?id=061&year=2006,Federal Mine Safety & Health Review Cmsn,2006,3,3
2006 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2006,Office of Government Ethics,2006,3,3
2006 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2006,Office of Justice Program,2006,3,3
2006 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2006,Office of Juvenile Justice & Delinq Prev,2006,3,3
2006 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=2006,Office of Policy Development,2006,3,3
2006 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=2006,Selective Service System,2006,3,3
2006 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2006,St Lawrence Seaway Development Corp,2006,3,3
2006 - State Justice Institute,http://www.opensecrets.org//lobby/agencysum.php?id=102&year=2006,State Justice Institute,2006,3,3
2006 - US Commission of Fine Arts,http://www.opensecrets.org//lobby/agencysum.php?id=225&year=2006,US Commission of Fine Arts,2006,3,3
2005 - Bureau of Economic Analysis,http://www.opensecrets.org//lobby/agencysum.php?id=106&year=2005,Bureau of Economic Analysis,2005,3,3
2005 - Bureau of Transportation Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=180&year=2005,Bureau of Transportation Statistics,2005,3,3
2005 - Joint Chiefs of Staff,http://www.opensecrets.org//lobby/agencysum.php?id=027&year=2005,Joint Chiefs of Staff,2005,3,3
2005 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=2005,National Mediation Board,2005,3,3
2005 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2005,Office of Government Ethics,2005,3,3
2005 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=2005,Office of Policy Development,2005,3,3
2005 - State Justice Institute,http://www.opensecrets.org//lobby/agencysum.php?id=102&year=2005,State Justice Institute,2005,3,3
2003 - Defense Commissary Agency,http://www.opensecrets.org//lobby/agencysum.php?id=117&year=2003,Defense Commissary Agency,2003,3,3
2003 - Inter-American Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=066&year=2003,Inter-American Foundation,2003,3,3
2002 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2002,Ballistic Missile Defense Organization,2002,3,3
2002 - Federal Mediation & Conciliation Servi,http://www.opensecrets.org//lobby/agencysum.php?id=060&year=2002,Federal Mediation & Conciliation Servi,2002,3,3
2001 - Federal Mediation & Conciliation Servi,http://www.opensecrets.org//lobby/agencysum.php?id=060&year=2001,Federal Mediation & Conciliation Servi,2001,3,3
2001 - State Justice Institute,http://www.opensecrets.org//lobby/agencysum.php?id=102&year=2001,State Justice Institute,2001,3,3
2000 - Natl Fdtn on the Arts & the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=072&year=2000,Natl Fdtn on the Arts & the Humanities,2000,3,3
1998 - Army Corps of Engineers,http://www.opensecrets.org//lobby/agencysum.php?id=200&year=1998,Army Corps of Engineers,1998,3,3
1998 - Bureau of Justice Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=158&year=1998,Bureau of Justice Statistics,1998,3,3
1998 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=1998,Bureau of Prisons,1998,3,3
1998 - Def Advanced Research Projects Agency,http://www.opensecrets.org//lobby/agencysum.php?id=116&year=1998,Def Advanced Research Projects Agency,1998,3,3
1998 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=1998,Occupational Safety & Health Review Co,1998,3,3
1998 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=1998,Research & Special Programs Administra,1998,3,3
1998 - US Arms Control & Disarmament Agency,http://www.opensecrets.org//lobby/agencysum.php?id=094&year=1998,US Arms Control & Disarmament Agency,1998,3,3
1998 - US International Development Cooperation,http://www.opensecrets.org//lobby/agencysum.php?id=097&year=1998,US International Development Cooperation,1998,3,3
1998 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=1998,Veterans' Employment & Training Service,1998,3,3
2014 - Appalachian Regional Commission,http://www.opensecrets.org//lobby/agencysum.php?id=234&year=2014,Appalachian Regional Commission,2014,3,4
2014 - Election Assistance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=215&year=2014,Election Assistance Commission,2014,3,4
2014 - Smithsonian Institution,http://www.opensecrets.org//lobby/agencysum.php?id=101&year=2014,Smithsonian Institution,2014,3,4
2014 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2014,St Lawrence Seaway Development Corp,2014,3,4
2014 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2014,US Secret Service,2014,3,4
2013 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=2013,Office of Policy Development,2013,3,4
2012 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2012,St Lawrence Seaway Development Corp,2012,3,4
