Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Mike Williams,Buffalo Bills,Wide Receiver,2,0,"$16,537",27.3,12/09/2014,18/05/1987,"Michael Anthony ""Mike"" Williams (born May 18, 1987) is currently an American football wide receiver who is a free agent. He was drafted by the Tampa Bay Buccaneers in the fourth round of the 2010 NFL Draft . He played college football at Syracuse .","http://en.wikipedia.org/wiki/Mike_Williams_%28wide_receiver,_born_1987%29",//upload.wikimedia.org/wikipedia/commons/9/9f/Mike_Williams_%28wide_receiver%2C_born_1987%29.JPG
Quinton Dial,San Francisco 49ers,Defensive Tackle,1,0,"$16,537",24.2,19/09/2014,21/07/1990,"Quinton Arnaz Dial (born July 21, 1990) is an American football defensive end for the San Francisco 49ers of the National Football League (NFL). He was drafted in the fifth round by the 49ers in the 2013 NFL Draft . He played college football at University of Alabama .",http://en.wikipedia.org/wiki/Quinton_Dial,//upload.wikimedia.org/wikipedia/commons/9/96/Quinton_Dial.JPG
Lardarius Webb,Baltimore Ravens,Cornerback,1,0,"$16,547",29.1,28/11/2014,12/10/1985,"Lardarius Webb (born October 12, 1985) is an American football cornerback for the Baltimore Ravens of the National Football League . He played collegiately at Nicholls State University .",http://en.wikipedia.org/wiki/Lardarius_Webb,//upload.wikimedia.org/wikipedia/commons/2/27/Ladarius_Webb.jpg
Anthony Spencer,Dallas Cowboys,Defense,2,0,"$17,500",25.7,09/10/2009,23/01/1984,"Anthony E. Spencer II (born January 23, 1984) is an American football defensive end for the Dallas Cowboys of the National Football League (NFL). He played college football for Purdue University . He was drafted by the Cowboys 26th overall in the 2007 NFL Draft .",http://en.wikipedia.org/wiki/Anthony_Spencer,//upload.wikimedia.org/wikipedia/en/9/9f/Antspencer.jpg
Antoine Winfield,Minnesota Vikings,Cornerback,2,0,"$17,500",31.3,10/10/2008,24/06/1977,"Antoine D. Winfield (born June 24, 1977) is a retired American football cornerback who played 15 years in the National Football League (NFL). He played college football for Ohio State University , earning consensus All-American honors and winning the Jim Thorpe Award . He was drafted by the Buffalo Bills in the first round of the 1999 NFL Draft . He played five seasons for the Bills and nine seasons for the Minnesota Vikings . He was a three-time Pro Bowl selection as a member of the Vikings.",http://en.wikipedia.org/wiki/Antoine_Winfield,//upload.wikimedia.org/wikipedia/commons/8/88/Antoine_Winfield_covering_Calvin_Johnson_at_Ford_Field_on_September_30%2C_2012.jpg
Dominic Raiola,Detroit Lions,Center,2,0,"$17,500",29.9,09/12/2008,30/12/1978,"Dominic Raiola ( /ˈdɒmɨnɪkraɪˈoʊlə/ ; born December 30, 1978) is an American football center for the Detroit Lions of the National Football League (NFL). He played college football for the University of Nebraska , earned All-American honors, and was recognized as best college center. He was a second-round pick of the Detroit Lions in the 2001 NFL Draft , and has played his entire pro career for the Lions.",http://en.wikipedia.org/wiki/Dominic_Raiola,//upload.wikimedia.org/wikipedia/commons/a/af/Dominic_Raiola.JPG
Gibril Wilson,"New York Giants, Miami Dolphins, Oakland Raiders",Safety,3,0,"$17,500",22.9,01/10/2004,12/11/1981,"Gibril Donald Wilson (born November 12, 1981) is a former American football safety in the National Football League (NFL). He was drafted by the New York Giants in the fifth round of the 2004 NFL Draft . He played college football at Tennessee .",http://en.wikipedia.org/wiki/Gibril_Wilson,//upload.wikimedia.org/wikipedia/commons/1/18/Gibril_Wilson_in_2007.jpg
Steve Herndon,Denver Broncos,Guard,1,0,"$17,647",25.5,06/12/2002,25/05/1977,"Steven Marshall Herndon (born May 25, 1977) is a former professional American football guard .",http://en.wikipedia.org/wiki/Steve_Herndon,
Cody Wallace,Pittsburgh Steelers,Guard,2,0,"$17,875",29.0,13/12/2013,26/11/1984,"Cody Layne Wallace (born November 26, 1984) is an American football guard and center for the Pittsburgh Steelers. He was drafted by the San Francisco 49ers in the fourth round of the 2008 NFL Draft . He played college football at Texas A&M .",http://en.wikipedia.org/wiki/Cody_Wallace,//upload.wikimedia.org/wikipedia/commons/d/df/Cody_Wallace_at_49ers_training_camp_2010-08-11.JPG
Gosder Cherilus,"Detroit Lions, Indianapolis Colts",Right Tackle,2,0,"$17,875",28.5,14/12/2012,28/06/1984,"Gosder Cherilus ( /ˈɡoʊstərˈʃɛrɨləs/ ; born June 28, 1984) is an American football offensive tackle for the Indianapolis Colts of the National Football League . He was drafted by the Detroit Lions 17th overall in the 2008 NFL Draft . He played college football at Boston College .",http://en.wikipedia.org/wiki/Gosder_Cherilus,//upload.wikimedia.org/wikipedia/commons/2/2c/Gosder_Cherilus.JPG
Chris Baker,Washington Redskins,Defensive Tackle,2,0,"$18,268",27.0,26/09/2014,08/10/1987,"Christopher Isaiah Baker (born October 8, 1987) is an American football defensive end and nose tackle for the Washington Redskins of the National Football League (NFL). After the 2009 NFL Draft , Baker was signed by the Denver Broncos as an undrafted free agent . He played college football at Hampton University . He played high school football at Windsor High School .",http://en.wikipedia.org/wiki/Chris_Baker_(defensive_tackle),//upload.wikimedia.org/wikipedia/commons/8/82/Chris_Baker_%28defensive_lineman%29.JPG
Roddy White,Atlanta Falcons,Wide Receiver,2,0,"$18,268",26.1,18/12/2007,02/11/1981,"Sharod Lamor ""Roddy"" White (born November 2, 1981) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). He was drafted by the Falcons in the first round of the 2005 NFL Draft . He played college football at the University of Alabama at Birmingham .",http://en.wikipedia.org/wiki/Roddy_White,//upload.wikimedia.org/wikipedia/commons/f/f4/Roddy_White_2013.jpg
Josh Norman,Carolina Panthers,Cornerback,2,0,"$19,293",26.9,21/11/2014,15/12/1987,"Josh Norman (born December 15, 1987) is an American football cornerback for the Carolina Panthers of the National Football League (NFL). He played college football at Coastal Carolina. He was selected by the Panthers in the fifth round of the 2012 NFL Draft, where he was considered one of the best cornerback prospects. ",http://en.wikipedia.org/wiki/Josh_Norman_(cornerback),http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NOR291905.png
Bobby McCray,New Orleans Saints,Defense,1,0,"$20,000",28.5,29/01/2010,08/08/1981,"Bobby L. McCray, Jr. (born August 8, 1981) is an American former college and professional football player who was a defensive end for seven seasons in the National Football League (NFL). He played college football for the University of Florida . He was drafted by the Jacksonville Jaguars in the seventh round of the 2004 NFL Draft , and also played for the New Orleans Saints and Philadelphia Eagles of the NFL.",http://en.wikipedia.org/wiki/Bobby_McCray,
Brian Robison,Minnesota Vikings,Defense,1,0,"$20,000",28.5,26/10/2011,23/04/1983,"Brian Gale Robison (born April 23, 1983) is an American football defensive end for the Minnesota Vikings of the National Football League . Robison is also a world-class shot putter . He played college football for the Texas Longhorns . He was drafted with the third selection of the fourth round (102nd overall) by the Minnesota Vikings in the 2007 NFL Draft .",http://en.wikipedia.org/wiki/Brian_Robison,//upload.wikimedia.org/wikipedia/commons/7/73/BrianRobison.PNG
Brodrick Bunkley,New Orleans Saints,Defensive Tackle,1,0,"$20,000",29.0,30/11/2012,23/11/1983,"Brodrick Bunkley (born November 23, 1983) is an American football nose tackle for the New Orleans Saints of the National Football League (NFL). He was drafted by the Philadelphia Eagles in the first round of the 2006 NFL Draft. He played college football at Florida State. Bunkley has also played for the Denver Broncos. ",http://en.wikipedia.org/wiki/Brodrick_Bunkley,//upload.wikimedia.org/wikipedia/commons/5/56/Brodrick_Bunkley_2007.jpg
Chris McAlister,Baltimore Ravens,Cornerback,2,0,"$20,000",26.3,18/10/2003,14/06/1977,"Christopher James McAlister (born June 14, 1977) is a former American college and professional football player who was a cornerback in the National Football League (NFL) for eleven seasons. He played college football for the University of Arizona , and was recognized as an All-American . He was drafted by the Baltimore Ravens in the first round of the 1999 NFL Draft , and played for the Ravens for ten seasons before playing his final season with the New Orleans Saints . A three-time Pro Bowl selection, McAlister has earned one Super Bowl ring . ",http://en.wikipedia.org/wiki/Chris_McAlister,//upload.wikimedia.org/wikipedia/commons/0/05/Chris_McAlister.JPG
Derrick Mason,Baltimore Ravens,Wide Receiver,2,0,"$20,000",33.9,07/12/2007,17/01/1974,"Derrick James Mason (born January 17, 1974) is a former American football wide receiver who played for fifteen seasons in the National Football League (NFL). He was drafted by the Tennessee Oilers in the fourth round of the 1997 NFL Draft after playing college football for the Michigan State Spartans . Following eight seasons with the Oilers (later called the Titans), including two Pro Bowl selections ( 2000 and 2003 ), Mason signed with the Baltimore Ravens in 2005. He became the Ravens' all-time leading receiver with 5,777 yards from 2005 to 2010, but he was released before the 2011 season. He spent 2011 on the New York Jets and Houston Texans rosters with little success. Mason decided to retire a Baltimore Raven on June 11, 2012.",http://en.wikipedia.org/wiki/Derrick_Mason,//upload.wikimedia.org/wikipedia/commons/d/d0/DerrickMason.jpg
Dre' Bly,Denver Broncos,Cornerback,1,0,"$20,000",31.4,17/10/2008,22/05/1977,"Donald André ""Dré"" Bly (born May 22, 1977) is a retired American college and professional football player who was a cornerback in the National Football League (NFL) for eleven seasons. He played college football for the University of North Carolina (UNC), and earned All-American honors twice. Bly was drafted by the St. Louis Rams in the second round of the 1999 NFL Draft , and spent four seasons with the Rams, earning a Super Bowl ring with them from Super Bowl XXXIV . He was selected to two Pro Bowls during his four-year tenure with the Detroit Lions , and also played for the Denver Broncos and San Francisco 49ers . ",http://en.wikipedia.org/wiki/Dre%27_Bly,//upload.wikimedia.org/wikipedia/commons/8/8e/DreBly.jpg
Dwight Freeney,Indianapolis Colts,Outside Linebacker,1,0,"$20,000",28.9,10/01/2009,19/02/1980,"Dwight Jason Freeney (born February 19, 1980) is an American football linebacker for the San Diego Chargers of the National Football League (NFL). He played college football for Syracuse University , and earned unanimous All-American honors. He was drafted by the Indianapolis Colts in the first round, 11th overall, of the 2002 NFL Draft and is a seven-time Pro Bowl selection.",http://en.wikipedia.org/wiki/Freeney,//upload.wikimedia.org/wikipedia/commons/2/23/Dwight_Freeney.JPG
Jay Cutler,Chicago Bears,Quarterback,1,0,"$20,000",26.5,13/11/2009,29/04/1983,"Jay Christopher Cutler (born April 29, 1983) is an American football quarterback for the Chicago Bears of the National Football League (NFL). He was drafted by the Denver Broncos in the first round of the 2006 NFL Draft. He played college football at Vanderbilt. ",http://en.wikipedia.org/wiki/Jay_Cutler_(American_football),//upload.wikimedia.org/wikipedia/commons/0/04/Jay_Cutler_-_11-01-2009_%28cropped%29.jpg
Niles Paul,Washington Redskins,Tight End,1,0,"$20,000",22.2,05/10/2011,09/08/1989,"Niles Paul (born August 9, 1989) is an American football tight end for the Washington Redskins of the National Football League (NFL). He was selected in fifth round of the 2011 NFL Draft as a wide receiver. He played college football at the University of Nebraska–Lincoln. ",http://en.wikipedia.org/wiki/Niles_Paul,//upload.wikimedia.org/wikipedia/commons/0/0d/Niles_paul_2014.jpg
Robert Griffin III,Washington Redskins,Quarterback,2,0,"$20,000",22.9,19/12/2012,12/02/1990,"Robert Lee Griffin III (born February 12, 1990), nicknamed RG3, is a professional American football quarterback for the Washington Redskins of the National Football League (NFL). He played college football for Baylor University where he won the 2011 Heisman Trophy. He was selected by the Redskins with the second overall pick of the 2012 NFL Draft. Griffin III won the 2012 NFL Offensive Rookie of the Year award. ",http://en.wikipedia.org/wiki/Robert_Griffin_III,//upload.wikimedia.org/wikipedia/commons/e/e1/RG3_2014.jpg
Will Montgomery,Washington Redskins,Center,2,0,"$20,000",29.8,07/12/2012,13/02/1983,"Will Montgomery (born February 13, 1983) is an American football center for the Denver Broncos for the National Football League (NFL). He was drafted by the Carolina Panthers in the seventh round of the 2006 NFL Draft . He played college football at Virginia Tech .",http://en.wikipedia.org/wiki/Will_Montgomery,//upload.wikimedia.org/wikipedia/commons/9/97/Will_Montgomery.JPG
Winston Venable,Chicago Bears,Safety,1,0,"$20,000",24.4,08/09/2011,31/03/1987,"Winston Venable (born March 31, 1987) is an American football linebacker who is currently a member of the Montreal Alouettes of the Canadian Football League . He previously played college football for Boise State University and was a member of the NFL Chicago Bears team in 2011. He is the son of former Major League Baseball player Max Venable as well as the younger brother of current San Diego Padres center fielder Will Venable .",http://en.wikipedia.org/wiki/Winston_Venable,//upload.wikimedia.org/wikipedia/commons/9/98/Winston_Venable.JPG
