Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
Omar al-Bashir,http://en.wikipedia.org/wiki/Omar_al-Bashir,"Omar Hassan Ahmad al-Bashir (Arabic: عمر حسن أحمد البشير ‎; born 1/1/2014 1944) is the President of Sudan and the head of the National Congress Party. He came to power in 1989 when, as a brigadier in the Sudanese army, he led a group of officers in a bloodless military coup that ousted the government of Prime Minister Sadiq al-Mahdi when the country was at the risk of entering a countrywide famine. Since then, he has been elected three times as President in elections that have been under scrutiny for corruption. On 4 March 2009, Sudanese President Omar al Bashir became the first sitting president to be indicted by the ICC for directing a campaign of mass killing, rape, and pillage against civilians in Darfur. ","http://commons.wikimedia.org/wiki/Special:FilePath/Omar_al-Bashir,_12th_AU_Summit,_090202-N-0506A-137.jpg?width=300",1944,45,30 June 1989,1989,,,"25 years, 133 days",9268 (on 14th of November),No,Yes,"Hosh Bannaga, Sudan",Sudan,Sudan,Sudan,National Congress (Sudan),Egyptian Military Academy,President,
Suharto,http://en.wikipedia.org/wiki/Suharto,"Suharto (pronunciation(help·info); 8 June 1921 – 27 January 2008) was the second President of Indonesia, holding the office for 31 years from Sukarno s ouster in 1967 until his resignation in 1998.","http://commons.wikimedia.org/wiki/Special:FilePath/President_Suharto,_1993.jpg?width=300",1921,46,12 March 1967,1967,21 May 1998,1998,"31 years, 70 days",11393,No,No,"Kemusuk, Indonesia",Indonesia,Indonesia,Indonesia,Golkar,,President,"Folk religion, Kebatinan"
Willem-Alexander of the Netherlands,http://wikipedia.org/wiki/Willem-Alexander_of_the_Netherlands,"Willem-Alexander (pronounced [ˈʋɪləm ɑlɛˈksɑndər]; Willem-Alexander Claus George Ferdinand; born 27 April 1967) is the King of the Kingdom of the Netherlands, consisting of the countries of the Netherlands (including the Caribbean Netherlands ), Curaçao, Aruba, and Sint Maarten. He is head of the Dutch royal house and the House of Amsberg .","http://commons.wikimedia.org/wiki/Special:FilePath/Willem-Alexander_(Royal_Wedding_in_Stockholm,_2010)_cropped.jpg?width=300",1967,46,30 April 2013,2013,,,"1 year,194 days",563 (on 14th of November),Yes,Yes,"Utrecht, The Netherlands",The Netherlands,Netherlands,The Netherlands,,,King,Dutch Reformed Church
Felipe VI of Spain,http://wikipedia.org/wiki/Felipe_VI_of_Spain,"Felipe VI (Spanish pronunciation: [feˈlipe]; [a] born 30 January 1968) is the King of Spain. He succeeded to the throne on 19 June 2014 following the abdication of his father, King Juan Carlos I.  As heir apparent to the throne, he previously bore the title of Prince of Asturias, and worked to support philanthropic causes and to promote international fellowship among Spanish-speaking countries.",,1968,46,19 June 2014,2014,,,"0 years,144 days",148 (on 14th of November),Yes,Yes,,,Spain,Spain,,,King,
Shavkat Mirziyoyev,http://en.wikipedia.org/wiki/Shavkat_Mirziyoyev,"Shavkat Miromonovich Mirziyoyev (Russified forms also used: Шавкат Мираманович Мирзиёев, Shavkat Miramanovich Mirziyoyev; Шавкат Мирзияев, Shavkat Mirziyayev) (born 24 July 1957 ) is a Uzbek politician who has been Prime Minister of Uzbekistan since 2003.  Previously he served as governor (Hakim) of Jizzakh Province from 1996 to September 2001, then as governor of Samarqand Province from September 2001 until his appointment as Prime Minister in 2003. ",,1957,46,11 December 2003,2003,,,"10 years, 334 days",3991 (on 14th of November),No,Yes,"Jizzakh, Uzbekistan",Uzbekistan,Uzbekistan,Uzbekistan,"Self-Sacrifice National Democratic Party, Uzbekistan National Revival Democratic Party",,Prime Minister,
Albert II of Monaco,"http://wikipedia.org/wiki/Albert_II,_Prince_of_Monaco","Albert II  (Albert Alexandre Louis Pierre Grimaldi; born 14 March 1958) is the reigning monarch of the Principality of Monaco, and head of the Princely House of Grimaldi. He is the son of Rainier III, Prince of Monaco, and the American actress Grace Kelly. His sisters are Caroline, Princess of Hanover – his heir presumptive – and Princess Stéphanie. In July 2011, Prince Albert married Charlene Wittstock. ",,1958,47,6 April 2005,2005,,,"9 years,218 days",3509 (on 14th of November),Yes,Yes,,,Monaco,Principate of Monaco,,,Prince,
Vladimir Putin,http://en.wikipedia.org/wiki/Vladimir_Putin,"Vladimir Vladimirovich Putin (Russian: Влади́мир Влади́мирович Пу́тин; IPA: [vɫɐˈdʲimʲɪr vɫɐˈdʲimʲɪrəvʲɪt͡ɕ ˈputʲɪn] , born 7 October 1952) has been the President of Russia since 7 May 2012. Putin previously served as President from 2000 to 2008, and as Prime Minister of Russia from 1999 to 2000 and again from 2008 to 2012. During his last term as Prime Minister, he was also the Chairman of United Russia, the ruling party.",http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir_Putin_-_2006.jpg?width=300,1952,47,9 August 1999,1999,,,"15 years, 93 days",5576 (on 14th of November),No,Yes,"Saint Petersburg, Russia",Russia,Russia,Russia,"Our Home – Russia, United Russia, Unity (Russian political party)",Saint Petersburg State University,President,"Russian Church, Orthodox, Christianism"
Pham Van Dong,http://en.wikipedia.org/wiki/Pham_Van_Dong,"Phạm Văn Đồng (listen; 1 March 1906 – 29 April 2000) was a Vietnamese politician who served as Prime Minister of North Vietnam from 1955 to 1976 and, following unification, as Prime Minister of Vietnam from 1976 until he retired in 1987 under the rule of Lê Duẩn and Nguyễn Văn Linh. He was considered one of Hồ Chí Minh s closest lieutenants. ",,1906,49,20 September 1955,1955,18 June 1987,1987,"31 years, 271 days",11594,No,No,,,"North Vietnam
 Vietnam",Vietnam,,,Prime Minister,
Nursultan Nazarbayev,http://en.wikipedia.org/wiki/Nursultan_Nazarbayev,"Nursultan Äbishuly Nazarbayev (Kazakh: Нұрсұлтан Әбішұлы Назарбаев [nʊrsʊlˈtɑn æbəʃʊˈlɯ nɑzɑrˈbɑ.jɪf]; Russian: Нурсултан Абишевич Назарбаев [nur.suɫˈtan ɐˈbʲi.ʂɨ.vʲɪt͡ɕ nə.zɐrˈba.jɪf]; born 6 July 1940) is the President of Kazakhstan. He has been the country's leader since 1989, when he was named First Secretary of the Communist Party of the Kazakh SSR, and was elected the nation's first president following its independence from the Soviet Union in December 1991. In April 2011, Nazarbayev was re-elected to another five-year term.",http://commons.wikimedia.org/wiki/Special:FilePath/Astana_Economic_Forum_2..jpg?width=300,1940,49,22 June 1989,1989,,,"25 years, 141 days",9276 (on 14th of November),No,Yes,"Ushkonyr, Kazakhstan",Kazakhstan,Kazakhstan,Kazakhstan,"Nur Otan, Communist Party of Kazakhstan",,"First Secretary, President",
Hamad bin Isa Al Khalifa,http://wikipedia.org/wiki/Hamad_bin_Isa_Al_Khalifa,"Hamad bin Isa bin Salman Al Khalifa (Arabic: حمد بن عيسى بن سلمان آل خليفة ‎ Ḥamad bin ʿĪsā bin Salmān ʾĀl Ḫalīfah; born January 28, 1950) is the 1st King of Bahrain (since 14 February 2002), having previously been its 2nd Emir (from March 6, 1999). He is the son of Isa bin Salman Al Khalifa, the previous and 1st Emir. The country has been run by the Al Khalifa dynasty since 1783.",http://en.wikipedia.org/wiki/Special:FilePath/Hamad-Bin-Isa-Al-Khalifa.jpg?width=300,1950,49,6 March 1999,1999,,,"15 years,249 days",5732 (on 14th of November),Yes,Yes,"Riffa, Bahrain",Bahrain,Bahrain,Bahrain,,,King,
Otumfuo Nana Osei Tutu II,http://wikipedia.org/wiki/Otumfuo_Nana_Osei_Tutu_II,"Osei Tutu II (Otumfuo Osei Tutu, born 6 May 1950), is the 16th King Asantehene of the Kingdom of Ashanti absolute monarchy and head of the Ashanti Royal house of the House of Beretuo Dynasty, King of Ashanti and the Ashanti people in Ashanti, Ghana. King Asantehene Osei Tutu II ascended the Golden Stool throne on 26 April 1999. By name, king Asantehene Osei Tutu II is in direct succession to the founder of the Empire of Ashanti, Otumfuo Osei Tutu I. ",http://commons.wikimedia.org/wiki/Special:FilePath/King_Asantehene_Osei_Tutu_II_of_Ashanti-Asanteman.jpg?width=300,1950,49,26 April 1999,1999,,,"15 years,198 days",5681 (on 14th of November),Yes,Yes,"Kumasi, Ghana",Ghana,Ashanti people ,Ghana,,,King,
Recep Tayyip Erdoğan,http://en.wikipedia.org/wiki/Recep_Tayyip_Erdo%C4%9Fan,"Recep Tayyip Erdoğan (Turkish pronunciation: [ɾeˈd͡ʒep tɑjˈjip ˈeɾdoɰɑn]; [note 1] born 26 February 1954) is a Turkish politician who currently serves as the incumbent 12th President of Turkey as of 28 August 2014. He previously served as the 25th Prime Minister of Turkey from 2003 to 2014 and as the Mayor of İstanbul between 1994 and 1998. He founded the Justice and Development Party (AKP) in 2001, leading it to three general election victories in 2002, 2007 and 2011 before stepping down as leader upon his election as President in 2014.",http://commons.wikimedia.org/wiki/Special:FilePath/Recep_Tayyip_Erdogan.PNG?width=300,1954,49,14 March 2003,2003,,,"11 years, 241 days",4263 (on 14th of November),No,Yes,"Istanbul, Turkey",Turkey,Turkey,Turkey,Justice and Development Party (Turkey),Marmara University Faculty of Economics and Administrative Sciences,"Prime Minister, President",
Filip Vujanović,http://en.wikipedia.org/wiki/Filip_Vujanovi%C4%87,"Filip Vujanović (Serbian Cyrillic: Филип Вујановић, pronounced [fîlip ʋǔjanɔʋit͡ɕ]) (born September 1, 1954) is the President of Montenegro since 2003. He is the country's first President since its independence in June 2006. He claimed a landslide victory in the April 2008 presidential election, and he was narrowly re-elected in 2013.",http://commons.wikimedia.org/wiki/Special:FilePath/FilipVujanovic.jpg?width=300,1954,49,22 May 2003,2003,,,"11 years, 172 days",4194 (on 14th of November),No,Yes,"Belgrade, Serbia",Serbia,Montenegro,Montenegro,Democratic Party of Socialists of Montenegro,University of Belgrade Faculty of Law,President,"Montenegrin Church, Orthodox, Christianism"
Mao Zedong,http://en.wikipedia.org/wiki/Mao_Zedong,"Mao Zedong (/ˈmaʊzəˈdʊŋ,dzə-/ ), also transliterated as Mao Tse-tung (listen(help·info)) and commonly referred to as Chairman Mao (December 26, 1893 – September 9, 1976), was a Chinese Communist revolutionary and the founding father of the People's Republic of China, which he governed as Chairman of the Communist Party of China from its establishment in 1949 until his death in 1976. His Marxist-Leninist theories, military strategies and political policies are collectively known as Marxism-Leninism-Maoism (often shortened to Maoism) or Mao Zedong (Tse-Tung) Thought.",http://commons.wikimedia.org/wiki/Special:FilePath/Mao_Zedong_portrait.jpg?width=300,1893,50,20 March 1943,1943,9 September 1976,1976,"33 years, 173 days",12226,No,No,"Shaoshan, China",China,"Shaan-Gan-Ning, Republic of China
 People's Republic of China",China,Communist Party of China,,"Chairman, Paramount Leader",None
Humaid bin Rashid Al Nuaimi,http://wikipedia.org/wiki/Humaid_bin_Rashid_Al_Nuaimi,"Sheikh Humaid bin Rashid al-Nuaimi (Arabic: شيخ حميد بن راشد النعيمي ‎) (born 1931), succeeded his father Shaikh Rashid and became the emir of Ajmān (one of the seven emirates of the United Arab Emirates federation) in 1981 and he is the current emir of Ajmān. Under his reign, the state saw rapid changes from a small fishing town at the time of independence to a modern emirate.",,1931,50,6 September 1981,1981,,,"33 years,65 days",12122 (on 14th of November),Yes,Yes,"Ajman, United Arab Emirates",United Arab Emirates,Ajman ,United Arab Emirated,,,Emir,
Islam Karimov,http://en.wikipedia.org/wiki/Islam_Karimov,"Islom Abdug‘aniyevich Karimov (Cyrillic Uzbek: Ислом Абдуғаниевич Каримов; Russian: Ислам Абдуганиевич Каримов, Islam Abduganiyevich Karimov; born January 30, 1938) is the first President of Uzbekistan, in office since 1991.",http://commons.wikimedia.org/wiki/Special:FilePath/Islam_karimov_cropped.jpg?width=300,1938,51,23 June 1989,1989,,,"25 years, 140 days",9275 (on 14th of November),No,Yes,"Samarkand, Uzbekistan",Uzbekistan,Uzbekistan,Uzbekistan,"People's Democratic Party of Uzbekistan, Uzbekistan Liberal Democratic Party, Communist Party of Uzbekistan",,"First Secretary, President",
Anote Tong,http://en.wikipedia.org/wiki/Anote_Tong,"Anote Tong (Chinese: 汤安诺; pinyin: Tāng Ānnuò; born 11 June 1952) is an I-Kiribati politician with Chinese heritage who is the President of Kiribati. He won the election in July 2003 with a slim plurality of votes cast (47.4%) against his brother, Dr. Harry Tong (43.5%) and the private lawyer Banuera Berina (9.1%). The elections were contested by the opposition, due to allegations of electoral fraud but the High Court of Tarawa had confirmed that there was no fraud. He was re-elected on 17 October 2007 for a second term (64%). In 2012, Tong was reelected for a third term, although with a significantly smaller percentage than in the previous two elections. ",http://commons.wikimedia.org/wiki/Special:FilePath/Anote_Tong_(1)_(cropped).jpg?width=300,1952,51,10 July 2003,2003,,,"11 years, 123 days",4145 (on 14th of November),No,Yes,"Tabuaeran, Kiribati",Kiribati,Kiribati,Kiribati,Pillars of Truth,"University of Canterbury, London School of Economics",President,
Josip Broz Tito,http://en.wikipedia.org/wiki/Josip_Broz_Tito,"Josip Broz Tito (born Josip Broz; Serbo-Croatian pronunciation: [jɔ̌sip brɔ̂ːz tîtɔ]; Јосип Броз Тито; 7 May 1892 [nb 1] – 4 May 1980) was a Yugoslav revolutionary and statesman, serving in various roles from 1943 until his death in 1980. During World War II he was the leader of the Partisans, often regarded as the most effective resistance movement in occupied Europe.  While his presidency has been criticized as authoritarian,  Tito was ""seen by most as a benevolent dictator "" due to his successful economic and diplomatic policies and was a popular public figure both in Yugoslavia and abroad. Viewed as a unifying symbol, his internal policies successfully maintained the peaceful coexistence of the nations of the Yugoslav federation. He gained international attention as the chief leader of the Non-Aligned Movement, working with Jawaharlal Nehru of India, Gamal Abdel Nasser of Egypt and Sukarno of Indonesia. ",http://commons.wikimedia.org/wiki/Special:FilePath/Josip_Broz_Tito_uniform_portrait.jpg?width=300,1892,51,29 November 1943,1943,4 May 1980,1980,"36 years, 157 days",13306,No,No,"Kumrovec, Croatia",Croatia,Yugoslavia,"Slovenia, Croatia, Bosnia and Herzegovina, Serbia, Montenegro, Macedonia",League of Communists of Yugoslavia,,"Prime Minister, President, Marshal",None
Norodom Sihamoni,http://wikipedia.org/wiki/Norodom_Sihamoni,"Norodom Sihamoni (Khmer: នរោត្តម សីហមុនី; born 14 May 1953) is the reigning King of Cambodia. He ascended the throne on 14 October 2004. He is the eldest son of Norodom Sihanouk and his second wife Norodom Monineath Sihanouk. He was Cambodia's ambassador to UNESCO and named by a nine-member throne council to become the next king after his father Norodom Sihanouk abdicated in 2004. Before ascending the throne, Sihamoni was best known for his work as a cultural ambassador in Europe and as a classical dance instructor.",http://commons.wikimedia.org/wiki/Special:FilePath/Norodom_crop.jpg?width=300,1953,51,14 October 2004,2004,,,"10 years,27 days",3683 (on 14th of November),Yes,Yes,"Phnom Penh, Cambodia",Cambodia,Cambodia,Cambodia,,,King,
Ismaïl Omar Guelleh,http://en.wikipedia.org/wiki/Isma%C3%AFl_Omar_Guelleh,"Ismaïl Omar Guelleh (Somali: Ismaaciil Cumar Geelle; Arabic: إسماعيل عمر جليه ‎) (born 27 November 1947) is the President of Djibouti, in office since 1999.",http://commons.wikimedia.org/wiki/Special:FilePath/Ismail_Omar_Guelleh_2010.jpg?width=300,1947,52,8 May 1999,1999,,,"15 years, 186 days",5669 (on 14th of November),No,Yes,"Dire Dawa, Ethiopia",Ethiopia,Djibouti,Djibouti,People's Rally for Progress,,President,
